ID;Votes;Rank;Title;Runtime (min);Primary genre(s);Main cast
44;942167;85;Memento (2000);113;Mystery, Thriller;"Guy Pearce; Carrie-Anne Moss; Joe Pantoliano"
45;958889;85;The Prestige (2006);130;Drama, Mystery, Sci-Fi;"Christian Bale; Hugh Jackman; Scarlett Johansson"
46;485508;85;Sen to Chihiro no kamikakushi (2001);;;
47;476643;85;Psycho (1960);109;Horror, Mystery, Thriller;"Anthony Perkins; Janet Leigh; Vera Miles"
48;975301;85;The Departed (2006);151;Crime, Drama, Thriller;"Leonardo DiCaprio; Matt Damon; Jack Nicholson"
49;590763;85;Intouchables (2011);112;Comedy, Drama;"François Cluzet; Omar Sy; Anne Le Ny"
50;430019;85;Casablanca (1942);102;Drama, Romance, War;"Humphrey Bogart; Ingrid Bergman; Paul Henreid"
51;993815;85;Saving Private Ryan (1998);169;Drama, War;"Tom Hanks; Matt Damon; Tom Sizemore"
52;137012;84;Paths of Glory (1957);88;Drama, War;"Kirk Douglas; Ralph Meeker; Adolphe Menjou"
53;141894;84;"""13 Reasons Why"" (2017)";60;Drama, Mystery, Thriller;"Dylan Minnette; Katherine Langford; Christian Navarro"
54;157474;84;Sunset Blvd. (1950);;;
55;159689;84;Blade Runner 2049 (2017);164;Action, Drama, Mystery;"Harrison Ford; Ryan Gosling; Ana de Armas"
56;692021;84;The Shining (1980);146;Drama, Horror;"Jack Nicholson; Shelley Duvall; Danny Lloyd"
57;407417;84;Oldeuboi (2003);;;
58;174740;84;Nuovo Cinema Paradiso (1988);;;
59;643183;84;Alien (1979);117;Horror, Sci-Fi;"Sigourney Weaver; Tom Skerritt; John Hurt"
60;379103;84;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964);95;Comedy, War;"Peter Sellers; George C. Scott; Sterling Hayden"
61;547487;84;Aliens (1986);137;Action, Adventure, Horror;"Sigourney Weaver; Michael Biehn; Carrie Henn"
62;247434;84;Once Upon a Time in America (1984);229;Crime, Drama;"Robert De Niro; James Woods; Elizabeth McGovern"
63;257132;84;Mononoke-hime (1997);;;
64;164458;84;Hotaru no haka (1988);;;
65;290191;84;Das Leben der Anderen (2006);;;
66;157821;84;The Great Dictator (1940);125;Comedy, Drama, War;"Charles Chaplin; Paulette Goddard; Jack Oakie"
67;75714;84;Witness for the Prosecution (1957);116;Crime, Drama, Mystery;"Tyrone Power; Marlene Dietrich; Charles Laughton"
68;1269255;84;The Dark Knight Rises (2012);164;Action, Crime, Drama;"Christian Bale; Tom Hardy; Anne Hathaway"
69;911446;84;American Beauty (1999);122;Drama;"Kevin Spacey; Annette Bening; Thora Birch"
70;1087375;84;Django Unchained (2012);165;Comedy, Drama, Western;"Jamie Foxx; Christoph Waltz; Leonardo DiCaprio"
71;812013;84;WALL·E (2008);98;Animation, Adventure, Family;"Ben Burtt; Elissa Knight; Jeff Garlin"
72;172852;83;Singin' in the Rain (1952);103;Comedy, Musical, Romance;"Gene Kelly; Donald O'Connor; Debbie Reynolds"
73;303203;83;Amadeus (1984);160;Biography, Drama, Music;"F. Murray Abraham; Tom Hulce; Elizabeth Berridge"
74;243659;83;North by Northwest (1959);136;Adventure, Drama, Mystery;"Cary Grant; Eva Marie Saint; James Mason"
75;179854;83;Per qualche dollaro in più (1965);;;
76;612021;83;Toy Story 3 (2010);103;Animation, Adventure, Comedy;"Tom Hanks; Tim Allen; Joan Cusack"
77;243039;83;To Kill a Mockingbird (1962);129;Crime, Drama;"Gregory Peck; John Megna; Frank Overton"
78;594927;83;Le fabuleux destin d'Amélie Poulain (2001);;;
79;686934;83;Good Will Hunting (1997);126;Drama, Romance;"Robin Williams; Matt Damon; Ben Affleck"
80;545907;83;Full Metal Jacket (1987);116;Drama, War;"Matthew Modine; R. Lee Ermey; Vincent D'Onofrio"
81;66437;83;Kimi no na wa. (2016);;;
82;329256;83;Citizen Kane (1941);119;Drama, Mystery;"Orson Welles; Joseph Cotten; Dorothy Comingore"
83;571416;83;Taxi Driver (1976);114;Crime, Drama;"Robert De Niro; Jodie Foster; Cybill Shepherd"
84;196224;83;The Sting (1973);129;Comedy, Crime, Drama;"Paul Newman; Robert Redford; Robert Shaw"
85;662781;83;Snatch (2000);102;Comedy, Crime;"Jason Statham; Brad Pitt; Stephen Graham"
86;206070;83;Jagten (2012);22;Short, Comedy;"Lucas Haim; Patrick Dræby Ravn; Tobias Wiig Jørgensen"
87;215696;83;Lawrence of Arabia (1962);227;Adventure, Biography, Drama;"Peter O'Toole; Alec Guinness; Anthony Quinn"
88;187200;83;Das Boot (1981);149;Drama, War;"Jürgen Prochnow; Herbert Grönemeyer; Klaus Wennemann"
89;282823;83;Vertigo (1958);128;Mystery, Romance, Thriller;"James Stewart; Kim Novak; Barbara Bel Geddes"
90;419568;83;Monty Python and the Holy Grail (1975);91;Adventure, Comedy, Fantasy;"Graham Chapman; John Cleese; Eric Idle"
91;599692;83;Scarface (1983);170;Crime, Drama;"Al Pacino; Michelle Pfeiffer; Steven Bauer"
92;20473;83;"""'Allo 'Allo!"" (1982)";45;Comedy, History, War;"Gorden Kaye; Carmen Silvera; Vicki Michelle"
93;77931;83;Dangal (2016);161;Action, Biography, Drama;"Aamir Khan; Sakshi Tanwar; Fatima Sana Shaikh"
94;746335;83;Eternal Sunshine of the Spotless Mind (2004);108;Drama, Romance, Sci-Fi;"Jim Carrey; Kate Winslet; Tom Wilkinson"
